ID,Title,Mean,Episodes,Rating,Popularity,Genres
34577,Nanatsu no Taizai: Imashime no Fukkatsu,7.54,24,pg_13,137,"Action, Adventure, Fantasy, Shounen"
8190,Nodame Cantabile Finale OVA,7.54,1,pg_13,4450,"Adult Cast, Comedy, Josei, Performing Arts, Romance"
16239,One Piece: Episode of Luffy - Hand Island no Bouken,7.54,1,pg_13,3254,"Action, Adventure, Fantasy, Shounen"
2549,Perrine Monogatari,7.54,53,g,8057,"Drama, Historical"
40351,Pokemon (2019),7.54,136,pg,2326,"Action, Adventure, Comedy, Fantasy, Kids"
40392,Runway de Waratte,7.54,12,pg_13,1848,"Drama, School, Shounen, Showbiz, Visual Arts"
32542,Sakamoto desu ga?,7.54,12,pg_13,264,"Comedy, Gag Humor, School, Seinen"
8675,Seitokai Yakuindomo,7.54,13,r,484,"Comedy, Gag Humor, School, Shounen"
9745,Sengoku Basara Movie: The Last Party,7.54,1,pg_13,4434,"Action, Fantasy, Historical, Martial Arts, Samurai"
42351,Senpai ga Uzai Kouhai no Hanashi,7.54,12,pg_13,715,"Adult Cast, Comedy, Love Status Quo, Romance, Workplace"
2787,Shakugan no Shana II (Second),7.54,24,pg_13,862,"Action, Drama, Fantasy, Romance, School, Urban Fantasy"
1650,Uchuu Senkan Yamato,7.54,26,pg_13,4396,"Action, Adult Cast, Adventure, Award Winning, Drama, Military, Sci-Fi, Space"
43299,Wonder Egg Priority,7.54,12,r,262,"Drama, Psychological, Supernatural, Suspense"
16241,"Yondemasu yo, Azazel-san. Z",7.54,13,r,3795,"Comedy, Gag Humor, Mythology, Seinen, Supernatural"
55528,Yuuki Bakuhatsu Bang Bravern,7.54,12,pg_13,4200,"Adult Cast, Comedy, Mecha, Military, Parody, Sci-Fi"
33350,Zhen Hun Jie,7.54,24,pg_13,3268,"Action, Supernatural"
52229,Birdie Wing: Golf Girls' Story Season 2,7.54,12,pg_13,4047,Sports
1240,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,7.54,1,pg_13,3772,"Drama, Mahou Shoujo, Shoujo"
51358,Dead Dead Demons Dededede Destruction,7.54,2,pg_13,4265,"Drama, School, Sci-Fi, Seinen"
129,Gensoumaden Saiyuuki,7.54,50,r,3189,"Action, Adventure, Drama, Fantasy, Shounen"
48707,Gokushufudou Part 2,7.54,5,pg_13,1500,"Adult Cast, Comedy, Gag Humor, Organized Crime"
39538,Hoozuki no Reitetsu 2nd Season OVA,7.54,3,pg_13,8415,"Comedy, Fantasy, Seinen"
17,Hungry Heart: Wild Striker,7.54,52,pg_13,4781,"Shounen, Sports, Team Sports"
304,Aa! Megami-sama! Movie,7.53,1,pg_13,3712,"Comedy, Romance, Seinen, Supernatural"
880,Aa! Megami-sama! Sorezore no Tsubasa,7.53,22,pg_13,2898,"Comedy, Harem, Romance, Seinen, Supernatural"
32828,Amaama to Inazuma,7.53,12,pg_13,798,"Childcare, Gourmet, Iyashikei, Seinen, Slice of Life"
59619,Ame to Kimi to,7.53,12,pg_13,3416,"Adult Cast, Pets, Seinen, Slice of Life"
39555,Baki: Dai Raitaisai-hen,7.53,13,r,1185,"Combat Sports, Gore, Shounen, Sports"
